endpoint	dataset	graph
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/aba-amb
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/abd
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/aceso
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/acgt-mo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ad-drop
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/adcad
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/adher_intcare_en
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/adher_intcare_sp
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/admo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ado
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/adw
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/aeo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/aero
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/afo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/agro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/agrocymac
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/agromop
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ahol
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ahso
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ai-rheum
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/aio
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/airbus
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/aism
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/amino-acid
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/amphx
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/apo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/apollo-sv
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/arcrc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/aro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/aspect
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/assaynode
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/atc
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/ato
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/atol
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/atom
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bao-gpcr
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bcgo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bci-o
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bco
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bcs7
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bcs8
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bcteo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bdo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bero
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bfo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bho
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bibframe
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bifo
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bin
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/biodivthes
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/biolink
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/biomodels
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bipom
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/birnlex
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/birthonto
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bko
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bms-lm
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bno
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bof
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bp
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bp-metadata
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bpt
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/brct
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bridg
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bro
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/brso
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bsao
bioportal	bioportal	http://rdf.integbio.jp/dataset/bioportal/bspo
